Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-2-36 , 0.35246 , -0.33705 , -0.13176 , 1.07726 , 1.0363 , 0.35817 , -0.20518 , 0.5139 , 7.15326 , 8.655 , 7.27544 , 8.625 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.21435 , 0.08639 , 8.64 , 0.02121 , 
ID-2-37 , 0.36167 , -0.32009 , -0.11879 , 1.16243 , 1.04878 , 0.37368 , -0.2012 , 0.58755 , 7.16547 , 8.65691 , 7.30071 , 8.62662 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.23309 , 0.09563 , 8.64177 , 0.02141 , 
ID-2-38 , 0.35912 , -0.32268 , -0.11873 , 1.25961 , 1.04171 , 0.3643 , -0.20385 , 0.69147 , 7.15784 , 8.65549 , 7.29138 , 8.62445 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.22461 , 0.09443 , 8.63997 , 0.02195 , 
ID-3-35 , 0.35174 , -0.22572 , -0.01901 , -0.35264 , 1.04722 , 0.36183 , -0.20661 , -0.92108 , 7.1537 , 8.65284 , 7.27155 , 8.62366 , 7.21083 , 8.63731 , 7.21442 , 8.71591 , 7.41285 , 8.72412 , 7.27011 , 8.71744 , nan , nan , nan , nan , 7.25558 , 0.08863 , 8.67855 , 0.04552 , 
ID-3-36 , 0.34264 , -0.2534 , -0.06318 , -0.33575 , 1.02406 , 0.35714 , -0.19012 , -0.88301 , 7.1683 , 8.67173 , 7.28067 , 8.64461 , 7.236 , 8.65327 , 7.23986 , 8.74176 , 7.45504 , 8.75069 , 7.31114 , 8.74337 , nan , nan , nan , nan , 7.28183 , 0.09759 , 8.7009 , 0.04948 , 
ID-3-37 , 0.35265 , -0.33192 , -0.1381 , -0.29379 , 1.02891 , 0.36236 , -0.19372 , -0.84988 , 7.1673 , 8.66694 , 7.29424 , 8.63763 , 7.26899 , 8.6419 , 7.27422 , 8.76401 , nan , nan , 7.37878 , 8.76781 , nan , nan , nan , nan , 7.27671 , 0.07543 , 8.69566 , 0.06512 , 
ID-3-38 , 0.34536 , -0.33718 , -0.14135 , -0.34379 , 1.02158 , 0.35327 , -0.19573 , -0.8928 , 7.16048 , 8.66619 , 7.27678 , 8.63757 , 7.22579 , 8.64825 , 7.22938 , 8.73498 , 7.44546 , 8.74387 , 7.29638 , 8.73649 , nan , nan , nan , nan , 7.27238 , 0.09705 , 8.69456 , 0.04903 , 
ID-3-39 , 0.34727 , -0.32962 , -0.13918 , 1.45894 , 1.02288 , 0.35964 , -0.19034 , 0.90896 , 7.16937 , 8.67108 , 7.28913 , 8.64298 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.22925 , 0.08469 , 8.65703 , 0.01987 , 
ID-4-32 , 0.34089 , -0.16202 , 0.03528 , -0.92082 , 0.92847 , 0.25458 , -0.1972 , -1.37261 , 7.10743 , 8.68108 , 7.26512 , 8.63731 , 6.86073 , 8.80737 , 6.83798 , 8.3113 , 7.05281 , 8.34072 , 6.61773 , 8.27591 , nan , nan , nan , nan , 6.95697 , 0.23034 , 8.50895 , 0.22664 , 
ID-4-33 , 0.35127 , -0.43074 , -0.18341 , -0.6502 , 1.03102 , 0.3155 , -0.24723 , -1.21293 , 7.08751 , 8.61537 , 7.22739 , 8.57753 , 6.97306 , 8.65828 , 6.96561 , 8.47199 , 7.12122 , 8.48693 , 6.8751 , 8.46355 , nan , nan , nan , nan , 7.04165 , 0.1274 , 8.54561 , 0.08268 , 
