Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-2-36 , 0.35259 , -0.33937 , -0.13403 , 1.07845 , 1.0363 , 0.35724 , -0.20525 , 0.51597 , 7.15271 , 8.65508 , 7.27559 , 8.6249 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.21415 , 0.08689 , 8.63999 , 0.02134 , 
ID-2-37 , 0.36284 , -0.34161 , -0.13972 , 1.17349 , 1.04878 , 0.36503 , -0.20178 , 0.60668 , 7.16035 , 8.65765 , 7.30199 , 8.62563 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.23117 , 0.10015 , 8.64164 , 0.02264 , 
ID-2-38 , 0.36019 , -0.34248 , -0.138 , 1.26979 , 1.04171 , 0.35633 , -0.20438 , 0.70908 , 7.15313 , 8.65618 , 7.29268 , 8.62354 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.2229 , 0.09867 , 8.63986 , 0.02308 , 
ID-3-35 , 0.35817 , -0.34466 , -0.13474 , -0.29148 , 1.04722 , 0.31399 , -0.20983 , -0.8153 , 7.1254 , 8.65716 , 7.27934 , 8.61816 , 7.25507 , 8.62294 , 7.26162 , 8.79185 , nan , nan , 7.40183 , 8.79077 , nan , nan , nan , nan , 7.26465 , 0.09814 , 8.69618 , 0.08814 , 
ID-3-36 , 0.34615 , -0.31822 , -0.12625 , -0.30242 , 1.02406 , 0.33107 , -0.19187 , -0.82536 , 7.15287 , 8.67402 , 7.28491 , 8.64161 , 7.26255 , 8.64551 , 7.26843 , 8.78031 , nan , nan , 7.38314 , 8.78339 , nan , nan , nan , nan , 7.27038 , 0.08185 , 8.70497 , 0.0713 , 
ID-3-37 , 0.35186 , -0.31735 , -0.12393 , -0.30129 , 1.02891 , 0.36822 , -0.19333 , -0.86283 , 7.17077 , 8.66644 , 7.29338 , 8.6383 , 7.26217 , 8.64365 , 7.26692 , 8.75576 , nan , nan , 7.36248 , 8.75878 , nan , nan , nan , nan , 7.27114 , 0.06894 , 8.69259 , 0.06 , 
ID-3-38 , 0.3443 , -0.31758 , -0.12228 , -0.35387 , 1.02158 , 0.36116 , -0.1952 , -0.91023 , 7.16514 , 8.66551 , 7.2755 , 8.63848 , 7.21886 , 8.65073 , 7.22204 , 8.7234 , 7.41382 , 8.73115 , 7.275 , 8.7245 , nan , nan , nan , nan , 7.26173 , 0.08514 , 8.68896 , 0.04193 , 
ID-3-39 , 0.34727 , -0.32962 , -0.13918 , 1.45894 , 1.02288 , 0.35964 , -0.19034 , 0.90896 , 7.16937 , 8.67108 , 7.28913 , 8.64298 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.22925 , 0.08469 , 8.65703 , 0.01987 , 
ID-4-32 , 0.34995 , -0.32951 , -0.12768 , -0.83469 , 0.92847 , 0.18723 , -0.20174 , -1.22365 , 7.06758 , 8.68807 , 7.27608 , 8.62956 , 6.90387 , 8.77206 , 6.88418 , 8.45603 , 7.11336 , 8.47779 , 6.73137 , 8.44205 , nan , nan , nan , nan , 6.99607 , 0.1941 , 8.57759 , 0.13844 , 
ID-4-33 , 0.35148 , -0.43467 , -0.18723 , -0.64818 , 1.03102 , 0.31391 , -0.24734 , -1.20943 , 7.08658 , 8.61552 , 7.22751 , 8.57735 , 6.9741 , 8.65762 , 6.9668 , 8.47486 , 7.12355 , 8.48988 , 6.87817 , 8.46658 , nan , nan , nan , nan , 7.04279 , 0.12661 , 8.54697 , 0.08098 , 
ID-4-34 , 0.35073 , -0.40405 , -0.17057 , -0.34994 , 1.0038 , 0.35639 , -0.23338 , -0.93971 , 7.12318 , 8.62398 , 7.23788 , 8.59357 , 7.19193 , 8.60549 , 7.19636 , 8.70263 , 7.3816 , 8.71073 , 7.26239 , 8.70532 , nan , nan , nan , nan , 7.23222 , 0.08724 , 8.65696 , 0.0549 , 
ID-4-35 , 0.35221 , -0.34784 , -0.13355 , -0.3473 , 1.03573 , 0.31967 , -0.21419 , -0.88115 , 7.12385 , 8.6514 , 7.25975 , 8.61509 , 7.20883 , 8.62749 , 7.21352 , 8.74129 , nan , nan , 7.29917 , 8.74391 , nan , nan , nan , nan , 7.22102 , 0.06568 , 8.67584 , 0.06234 , 
ID-4-36 , 0.33968 , -0.33962 , -0.12903 , -0.33487 , 1.02369 , 0.34037 , -0.21049 , -0.88573 , 7.13849 , 8.65205 , 7.24539 , 8.62264 , 7.22077 , 8.62952 , 7.22522 , 8.73917 , 7.4446 , 8.74841 , 7.31056 , 8.74164 , nan , nan , nan , nan , 7.26417 , 0.10417 , 8.6889 , 0.06021 , 
ID-4-37 , 0.34873 , -0.32771 , -0.13018 , -0.32911 , 1.02078 , 0.34432 , -0.19744 , -0.87088 , 7.15404 , 8.66577 , 7.28083 , 8.63466 , 7.23511 , 8.64365 , 7.23969 , 8.74925 , nan , nan , 7.32575 , 8.75174 , nan , nan , nan , nan , 7.24708 , 0.06361 , 8.68901 , 0.05726 , 
