Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-23-52 , -0.21706 , -0.27495 , -0.49382 , -0.50779 , 0.09986 , -0.15005 , 0.21896 , -0.13877 , 7.54842 , 9.12578 , 7.72801 , 9.06853 , nan , nan , 7.56823 , 9.14127 , nan , nan , 7.60755 , 9.13801 , nan , nan , nan , nan , 7.61305 , 0.08048 , 9.1184 , 0.03391 , 
ID-23-53 , -0.218 , -0.25411 , -0.47008 , -0.48398 , 0.11321 , -0.14128 , 0.21606 , -0.12664 , 7.54647 , 9.1223 , 7.71497 , 9.06802 , nan , nan , 7.60063 , 9.14673 , nan , nan , 7.67331 , 9.1465 , nan , nan , nan , nan , 7.63384 , 0.075 , 9.12089 , 0.03706 , 
ID-23-54 , -0.1096 , -0.28217 , -0.38745 , -0.36499 , 0.24492 , -0.12003 , 0.10537 , -0.1396 , 7.33804 , 9.03934 , 7.4222 , 9.0097 , 7.50325 , 8.98247 , 7.60803 , 9.14324 , nan , nan , nan , nan , nan , nan , nan , nan , 7.46788 , 0.11524 , 9.04369 , 0.07031 , 
ID-23-55 , -0.1366 , -0.26637 , -0.3969 , -0.42174 , 0.21885 , -0.12163 , 0.13063 , -0.16947 , 7.38605 , 9.05828 , 7.47679 , 9.02603 , nan , nan , 7.55578 , 9.13104 , nan , nan , 7.76373 , 9.13599 , nan , nan , nan , nan , 7.54559 , 0.16112 , 9.08784 , 0.0544 , 
ID-23-56 , -0.28458 , -0.32296 , -0.42693 , -0.62946 , 0.06923 , -0.29506 , 0.10407 , -0.23034 , 7.27176 , 9.06818 , 7.32341 , 9.04291 , nan , nan , 7.30119 , 9.09374 , nan , nan , 7.33816 , 9.08678 , nan , nan , nan , nan , 7.30863 , 0.0289 , 9.0729 , 0.02272 , 
ID-23-57 , -0.45662 , -0.33517 , -0.43279 , -0.84779 , -0.11277 , -0.4816 , 0.09772 , -0.26848 , 7.20281 , 9.09617 , 7.24321 , 9.07329 , nan , nan , 7.12711 , 9.06723 , 7.16546 , 9.06716 , 7.08626 , 9.05797 , nan , nan , nan , nan , 7.16497 , 0.06161 , 9.07236 , 0.01439 , 
ID-23-58 , -0.56142 , -0.41898 , -0.55948 , -0.87378 , -0.23591 , -0.55701 , 0.1406 , -0.17617 , 7.24692 , 9.14232 , 7.30166 , 9.11492 , nan , nan , 7.14898 , 9.10124 , 7.19402 , 9.10587 , 7.09152 , 9.09233 , nan , nan , nan , nan , 7.19662 , 0.08199 , 9.11134 , 0.01914 , 
ID-23-59 , -0.62041 , -0.46112 , -0.6039 , -0.88246 , -0.30305 , -0.61948 , 0.14288 , -0.1201 , 7.23172 , 9.15546 , 7.28427 , 9.12754 , nan , nan , 7.14958 , 9.11971 , 7.22063 , 9.12818 , 7.10031 , 9.11289 , nan , nan , nan , nan , 7.1973 , 0.07242 , 9.12876 , 0.01619 , 
ID-23-60 , -0.5552 , -0.38542 , -0.56888 , -0.83028 , -0.24005 , -0.51929 , 0.18355 , -0.12744 , 7.33741 , 9.16711 , 7.40419 , 9.1332 , nan , nan , 7.21739 , 9.12222 , 7.32522 , 9.13028 , 7.15422 , 9.11329 , nan , nan , nan , nan , 7.28769 , 0.10026 , 9.13322 , 0.02047 , 
ID-23-61 , -0.36802 , -0.3202 , -0.47973 , -0.66273 , -0.06701 , -0.36975 , 0.15963 , -0.13335 , 7.34631 , 9.12267 , 7.43038 , 9.08445 , nan , nan , 7.34049 , 9.1283 , nan , nan , 7.34652 , 9.12536 , nan , nan , nan , nan , 7.36592 , 0.04306 , 9.1152 , 0.02062 , 
