Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-23-23 , 0.0794 , -0.46171 , -0.49078 , -0.14979 , 0.5411 , 0.28711 , 0.02917 , -0.40773 , 7.41991 , 8.90492 , 7.43241 , 8.90395 , 7.67411 , 8.86358 , 7.70983 , 9.04129 , nan , nan , nan , nan , nan , nan , nan , nan , 7.55907 , 0.15424 , 8.92844 , 0.07766 , 
ID-23-24 , 0.16065 , -0.48428 , -0.65035 , -0.11238 , 0.64493 , 0.45946 , 0.16617 , -0.40567 , 7.80455 , 9.00014 , 8.12573 , 8.97851 , 7.9749 , 8.9844 , 8.05744 , 9.05836 , nan , nan , nan , nan , nan , nan , nan , nan , 7.99066 , 0.13855 , 9.00535 , 0.0365 , 
ID-23-25 , 0.19415 , -0.5496 , -0.69133 , -0.12814 , 0.74375 , 0.48363 , 0.14184 , -0.46994 , 7.76579 , 8.97784 , 8.11503 , 8.95318 , 7.89768 , 8.96609 , 7.92507 , 9.02228 , nan , nan , nan , nan , nan , nan , nan , nan , 7.92589 , 0.14399 , 8.97985 , 0.03003 , 
ID-23-26 , 0.25993 , -0.6356 , -0.81644 , -0.12677 , 0.89553 , 0.62494 , 0.18094 , -0.57078 , 8.04986 , 8.99426 , nan , nan , nan , nan , 7.97407 , 8.97834 , nan , nan , nan , nan , nan , nan , nan , nan , 8.01197 , 0.05359 , 8.9863 , 0.01126 , 
ID-23-27 , 0.23163 , -0.71521 , -0.73494 , -0.17575 , 0.94683 , 0.52941 , 0.01983 , -0.68533 , 7.59069 , 8.85912 , 7.64664 , 8.84378 , 7.62738 , 8.85894 , 7.62625 , 8.89828 , nan , nan , 7.65973 , 8.88612 , nan , nan , nan , nan , 7.63014 , 0.02611 , 8.86925 , 0.02227 , 
ID-23-28 , 0.03388 , -1.14547 , -0.73944 , -0.36873 , 1.17935 , 0.41233 , -0.40593 , -1.18699 , 6.97934 , 8.41751 , 6.843 , 8.48218 , 7.04622 , 8.39754 , 7.04394 , 8.49906 , 6.81627 , 8.48166 , 7.11518 , 8.50361 , 6.78647 , 8.29656 , nan , nan , 6.9472 , 0.13054 , 8.43973 , 0.0752 , 
ID-23-30 , -0.35007 , -0.87941 , -0.7024 , -0.70198 , 0.52934 , 0.07714 , -0.17691 , -0.95604 , 7.04435 , 8.73454 , 6.86425 , 8.84807 , 6.99228 , 8.7618 , 6.98545 , 8.67834 , 6.64585 , 8.65228 , 6.94348 , 8.67531 , nan , nan , nan , nan , 6.91261 , 0.14385 , 8.72506 , 0.07284 , 
ID-23-31 , -0.3649 , -0.62122 , -0.59216 , -0.70049 , 0.25632 , -0.06995 , -0.02896 , -0.65951 , 7.16007 , 8.91414 , 7.02397 , 8.98718 , 7.11203 , 8.94117 , 7.10521 , 8.87104 , 6.8199 , 8.85574 , 7.06816 , 8.86446 , nan , nan , nan , nan , 7.04822 , 0.12078 , 8.90562 , 0.05171 , 
ID-23-32 , -0.29098 , -0.39259 , -0.55634 , -0.73776 , 0.10161 , -0.13405 , 0.16385 , -0.43987 , 7.4447 , 9.08442 , 7.48387 , 9.07063 , nan , nan , 7.22735 , 8.99857 , 7.10762 , 8.99146 , 7.12232 , 8.99231 , nan , nan , nan , nan , 7.27717 , 0.17748 , 9.02748 , 0.04603 , 
ID-23-33 , -0.17129 , -0.39692 , -0.47305 , -0.67623 , 0.31133 , -0.07298 , 0.07623 , -0.52702 , 7.30233 , 9.00952 , 7.30871 , 9.00768 , nan , nan , 7.20299 , 8.95086 , 7.13522 , 8.94978 , 7.14492 , 8.94543 , nan , nan , nan , nan , 7.21883 , 0.0833 , 8.97266 , 0.03288 , 
